Source,Target,Type,weight,book
Addam-Marbrand,Brynden-Tully,Undirected,3,4
Addam-Marbrand,Cersei-Lannister,Undirected,3,4
Addam-Marbrand,Jaime-Lannister,Undirected,8,4
Addam-Marbrand,Lyle-Crakehall,Undirected,4,4
Brynden-Tully,Jaime-Lannister,Undirected,22,4
Brynden-Tully,Lyle-Crakehall,Undirected,4,4
Brynden-Tully,Catelyn-Stark,Undirected,3,4
Brynden-Tully,Daven-Lannister,Undirected,3,4
Brynden-Tully,Edmure-Tully,Undirected,15,4
Brynden-Tully,Edwyn-Frey,Undirected,3,4
Brynden-Tully,Emmon-Frey,Undirected,7,4
Brynden-Tully,Ryman-Frey,Undirected,3,4
Cersei-Lannister,Jaime-Lannister,Undirected,62,4
Cersei-Lannister,Rhaegar-Targaryen,Undirected,8,4
Cersei-Lannister,Jon-Snow,Undirected,3,4
Cersei-Lannister,Robert-Baratheon,Undirected,36,4
Cersei-Lannister,Tywin-Lannister,Undirected,17,4
Cersei-Lannister,Margaery-Tyrell,Undirected,73,4
Cersei-Lannister,Osney-Kettleblack,Undirected,27,4
Cersei-Lannister,Lancel-Lannister,Undirected,15,4
Cersei-Lannister,Myrcella-Baratheon,Undirected,8,4
Cersei-Lannister,Petyr-Baelish,Undirected,7,4
Cersei-Lannister,Doran-Martell,Undirected,3,4
Cersei-Lannister,Sansa-Stark,Undirected,6,4
Cersei-Lannister,Gyles-Rosby,Undirected,18,4
Cersei-Lannister,Harys-Swyft,Undirected,4,4
Cersei-Lannister,Loras-Tyrell,Undirected,24,4
Cersei-Lannister,Orton-Merryweather,Undirected,9,4
Cersei-Lannister,Stannis-Baratheon,Undirected,14,4
Cersei-Lannister,Tommen-Baratheon,Undirected,93,4
Cersei-Lannister,Falyse-Stokeworth,Undirected,14,4
Cersei-Lannister,Gregor-Clegane,Undirected,10,4
Cersei-Lannister,Qyburn,Undirected,30,4
Cersei-Lannister,Tallad,Undirected,4,4
Cersei-Lannister,Meryn-Trant,Undirected,18,4
Cersei-Lannister,Osmund-Kettleblack,Undirected,25,4
Cersei-Lannister,Joffrey-Baratheon,Undirected,24,4
Cersei-Lannister,Tyrion-Lannister,Undirected,41,4
Cersei-Lannister,Dorcas,Undirected,18,4
Cersei-Lannister,Dunsen,Undirected,7,4
Cersei-Lannister,Eddard-Stark,Undirected,3,4
Cersei-Lannister,Garlan-Tyrell,Undirected,3,4
Cersei-Lannister,Garth-Tyrell,Undirected,3,4
Cersei-Lannister,High-Septon-(Tyrions),Undirected,3,4
Cersei-Lannister,High-Sparrow,Undirected,35,4
Cersei-Lannister,Ilyn-Payne,Undirected,10,4
Cersei-Lannister,Jalabhar-Xho,Undirected,3,4
Cersei-Lannister,Jocelyn-Swyft,Undirected,13,4
Cersei-Lannister,Kevan-Lannister,Undirected,19,4
Cersei-Lannister,Mace-Tyrell,Undirected,20,4
Cersei-Lannister,Maegor-I-Targaryen,Undirected,3,4
Cersei-Lannister,Maggy,Undirected,5,4
Cersei-Lannister,Mark-Mullendore,Undirected,3,4
Cersei-Lannister,Melara-Hetherspoon,Undirected,5,4
Cersei-Lannister,Moon-Boy,Undirected,5,4
Cersei-Lannister,Olenna-Redwyne,Undirected,6,4
Cersei-Lannister,Osfryd-Kettleblack,Undirected,8,4
Cersei-Lannister,Pycelle,Undirected,15,4
Cersei-Lannister,Rafford,Undirected,7,4
Cersei-Lannister,Raynard,Undirected,3,4
Cersei-Lannister,Senelle,Undirected,9,4
Cersei-Lannister,Taena-of-Myr,Undirected,46,4
Cersei-Lannister,Unella,Undirected,13,4
Cersei-Lannister,Varys,Undirected,7,4
Cersei-Lannister,Walder-Frey,Undirected,5,4
Cersei-Lannister,Daenerys-Targaryen,Undirected,3,4
Cersei-Lannister,Moelle,Undirected,4,4
Cersei-Lannister,Robert-Strong,Undirected,4,4
Cersei-Lannister,Scolera,Undirected,5,4
Jaime-Lannister,Lyle-Crakehall,Undirected,9,4
Jaime-Lannister,Rhaegar-Targaryen,Undirected,7,4
Jaime-Lannister,Robert-Baratheon,Undirected,16,4
Jaime-Lannister,Tywin-Lannister,Undirected,14,4
Jaime-Lannister,Margaery-Tyrell,Undirected,10,4
